AGI code	Annotation
AT1G64620	 DNA binding / transcription factor [Arabidopsis thaliana] 
AT1G64710	 S-adenosylmethionine-dependent methyltransferase/ oxidoreductase/ zinc ion binding [Arabidopsis thaliana] 
AT1G65040	 protein binding / ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT1G65110	 cysteine-type endopeptidase/ nucleic acid binding / ubiquitin thiolesterase/ zinc ion binding [Arabidopsis thaliana] 
AT1G65120	 cysteine-type endopeptidase/ nucleic acid binding / ubiquitin thiolesterase/ zinc ion binding [Arabidopsis thaliana] 
AT1G65130	 cysteine-type endopeptidase/ nucleic acid binding / ubiquitin thiolesterase/ zinc ion binding [Arabidopsis thaliana] 
AT1G65180	 protein binding / zinc ion binding [Arabidopsis thaliana] 
AT1G65200	 cysteine-type endopeptidase/ ubiquitin thiolesterase [Arabidopsis thaliana] 
AT1G65430	 ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT1G65560	 oxidoreductase/ zinc ion binding [Arabidopsis thaliana] 
AT1G65920	 zinc ion binding [Arabidopsis thaliana] 
AT1G66040	 protein binding / ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT1G66050	 protein binding / ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
