Ath_ID	description
AT5G63920	TOPOISOMERASE 3ALPHA 
AT1G50030	TARGET OF RAPAMYCIN 
AT5G53770	TRF4/5-LIKE 
AT3G27060	TSO MEANING 'UGLY' IN CHINESE 2 
AT2G27170	TITAN7 
AT2G02760	UBIQUITING-CONJUGATING ENZYME 2 
AT1G16890	UBIQUITIN-CONJUGATING ENZYME 36 
AT1G65740	UPWARD CURLY LEAF1 
AT3G52560	UBIQUITIN E2 VARIANT 1D-4 
AT3G18630	URACIL DNA GLYCOSYLASE 
AT5G41150	ULTRAVIOLET HYPERSENSITIVE 1 
AT1G03190	ULTRAVIOLET HYPERSENSITIVE 6 
AT3G15620	UV REPAIR DEFECTIVE 3 
AT1G02970	WEE1 KINASE HOMOLOG 
AT1G71260	WHIRLY 2
AT2G02740	WHIRLY 3 
AT4G13870	WERNER SYNDROME-LIKE EXONUCLEASE 
AT5G41370	HOMOLOG OF XERODERMA PIGMENTOSUM COMPLEMENTATION GROUP B 1 
AT1G80420	HOMOLOG OF X-RAY REPAIR CROSS COMPLEMENTING 1
AT5G64520	HOMOLOG OF X-RAY REPAIR CROSS COMPLEMENTING 2
AT5G57450	HOMOLOG OF X-RAY REPAIR CROSS COMPLEMENTING 3 
AT3G23100	HOMOLOG OF X-RAY REPAIR CROSS COMPLEMENTING 4 
AT5G48720	X-RAY INDUCED TRANSCRIPT 1 
AT3G14890	ZINC 4 FINGER DNA 3'-PHOSPHOESTERASE 
AT1G25580	SUPPRESSOR OF GAMMA RADIATION 1 
