AGI code	Annotation
AT2G27190	 iron(III)-zinc(II) purple acid phosphatase (PAP12) [Arabidopsis thaliana] 
AT2G32770	 purple acid phosphatase (PAP13) [Arabidopsis thaliana] 
AT3G07130	 serine/threonine protein phosphatase family protein [Arabidopsis thaliana] 
AT3G20500	 calcineurin-like phosphoesterase family protein [Arabidopsis thaliana] 
AT3G46120	 calcineurin-like phosphoesterase family protein [Arabidopsis thaliana] 
AT3G52780	 purple acid phosphatase (PAP20) [Arabidopsis thaliana] 
AT3G52810	 purple acid phosphatase (PAP21) [Arabidopsis thaliana] 
AT3G52820	 purple acid phosphatase (PAP22) [Arabidopsis thaliana] 
AT4G13700	 serine/threonine protein phosphatase family protein [Arabidopsis thaliana] 
AT4G24890	 calcineurin-like phosphoesterase family protein [Arabidopsis thaliana] 
AT4G36350	 calcineurin-like phosphoesterase family protein [Arabidopsis thaliana] 
AT5G34850	 calcineurin-like phosphoesterase family [Arabidopsis thaliana] 
AT5G50400	 calcineurin-like phosphoesterase family [Arabidopsis thaliana] 
AT1G52940	 calcineurin-like phosphoesterase family protein [Arabidopsis thaliana] 
AT3G17790	 acid phosphatase type 5 (ACP5) [Arabidopsis thaliana] 
AT3G23580	 ribonucleoside-diphosphate reductase small chain / ribonucleotide reductase [Arabidopsis thaliana] 
AT3G27060	" ribonucleoside-diphosphate reductase small chain, putative / ribonucleotide reductase, putative [Arabidopsis thaliana] "
AT5G40942	 ribonucleoside-diphosphate reductase small chain -related [Arabidopsis thaliana] 
AT5G14660	 peptide deformylase [Arabidopsis thaliana] 
AT1G15390	" peptide deformylase, mitochondrial / polypeptide deformylase 1A (PDF1A) [Arabidopsis thaliana] "
AT3G47810	 calcineurin-like phosphoesterase family protein [Arabidopsis thaliana] 
AT2G40300	" ferritin, putative [Arabidopsis thaliana] "
AT3G11050	" ferritin, putative [Arabidopsis thaliana] "
AT3G56090	" ferritin, putative [Arabidopsis thaliana] "
AT5G01600	 ferritin 1 precursor [Arabidopsis thaliana] 
AT1G15960	" NRAMP metal ion transporter 6, putative (NRAMP6) [Arabidopsis thaliana] "
AT1G47240	" NRAMP metal ion transporter 2, putative (NRAMP2) [Arabidopsis thaliana] "
AT1G80830	 NRAMP metal ion transporter 1 (NRAMP1) [Arabidopsis thaliana] 
AT2G23150	 NRAMP metal ion transporter 3 (NRAMP3) [Arabidopsis thaliana] 
AT4G18790	" NRAMP metal ion transporter 5, putative (NRAMP5) [Arabidopsis thaliana] "
AT5G03280	 ethylene-insensitive 2 (EIN2) [Arabidopsis thaliana] 
AT5G67330	 NRAMP metal ion transporter 4 (NRAMP4) [Arabidopsis thaliana] 
AT5G02710	 expressed protein [Arabidopsis thaliana] 
AT1G03445	 kelch repeat-containing protein / serine/threonine phosphoesterase family protein [Arabidopsis thaliana] 
AT1G07010	 calcineurin-like phosphoesterase family protein [Arabidopsis thaliana] 
AT1G08420	 kelch repeat-containing protein / serine/threonine phosphoesterase family protein [Arabidopsis thaliana] 
AT1G10430	 serine/threonine protein phosphatase PP2A-1 catalytic subunit (PP2A1) [Arabidopsis thaliana] 
AT1G48120	 calcineurin-like phosphoesterase family protein [Arabidopsis thaliana] 
AT1G50370	" serine/threonine protein phosphatase, putative [Arabidopsis thaliana] "
AT1G59830	 serine/threonine protein phosphatase PP2A-2 catalytic subunit (PP2A2) [Arabidopsis thaliana] 
AT1G64040	 serine/threonine protein phosphatase PP1 isozyme 3 (TOPP3) / phosphoprotein phosphatase 1 [Arabidopsis thaliana] 
AT1G69960	 serine/threonine protein phosphatase PP2A-5 catalytic subunit (PP2A5) [Arabidopsis thaliana] 
AT2G27210	 kelch repeat-containing serine/threonine phosphoesterase family protein [Arabidopsis thaliana] 
AT2G29400	 serine/threonine protein phosphatase PP1 isozyme 1 (TOPP1) / phosphoprotein phosphatase 1 [Arabidopsis thaliana] 
