"","gene","WFe_pH 5.5","LFe_pH 5.5","LFe_pH 7.5","WFe_pH 7.5","cluster","membership"
"28","AT1G13080",0.890240884804049,0.796104164632774,-1.11868070354222,-0.567664345894607,1,0.297388706674291
"29","AT1G13300",1.06958256137979,0.541581597225493,-1.16942101685042,-0.441743141754863,1,0.466690608014289
"30","AT1G13950",0.911799542354178,0.234917764412106,-1.42657461306383,0.279857306297545,1,0.361995717423443
"31","AT1G13970",1.21709546231917,-0.0789868028577496,-1.22662336040576,0.0885147009443439,1,0.392266682465989
"32","AT1G14350",1.140077045863,0.504023718253345,-1.03959435422288,-0.604506409893464,1,0.408773378536731
"33","AT1G15540",1.47656012628265,-0.243152676011832,-0.616718365231753,-0.616689085039066,1,0.272809208684508
"34","AT1G16170",1.04529376404592,0.630855445774492,-1.06681492338576,-0.609334286434644,1,0.365752331258114
"35","AT1G16260",1.34856366449043,0.0888010710286498,-0.453652443842082,-0.983712291676998,1,0.253943247079356
"36","AT1G16905",1.42602156325383,-0.171056054960181,-0.90110029168162,-0.353865216612024,1,0.340301193363527
"37","AT1G17190",1.27548945396585,0.0630446583095171,-1.155741741511,-0.182792370764367,1,0.576155561051743
"38","AT1G17200",1.43008862942176,-0.0516832996880661,-0.722177822279677,-0.656227507454022,1,0.314656407295881
"39","AT1G17240",0.802285174212938,0.538861502090451,-1.43432381347826,0.0931771371748732,1,0.360429552037233
"40","AT1G17300",1.11601896067893,0.34064067225553,-1.26570164709293,-0.190957985841531,1,0.698408058265764
"41","AT1G18300",0.988120603499083,0.61797240893382,-1.22254644211885,-0.383546570314048,1,0.429613171285858
"42","AT1G19050",1.20931706715156,-0.023273478123154,-1.23864586422285,0.0526022751944373,1,0.453823379545052
"43","AT1G20490",1.0128183215895,0.70371889501091,-0.911788493717219,-0.804748722883194,1,0.29118717031637
"44","AT1G20691",1.07667505638514,0.477376766774232,-1.22721682162217,-0.326835001537207,1,0.553398637227571
"45","AT1G20816",1.32748821895151,-0.126740514237953,-1.10078085940614,-0.0999668453074139,1,0.391193606886554
"46","AT1G20860",0.957369288690923,0.760373504947309,-0.981256088463006,-0.736486705175227,1,0.289073281223228
"47","AT1G20930",1.08735732997928,0.410190157061562,-1.26261897022734,-0.234928516813508,1,0.634947541935669
"48","AT1G21590",1.07768805465631,0.518743179440818,-1.18240152779641,-0.414029706300718,1,0.491336642361464
"49","AT1G22550",1.05107726324443,0.506684156722935,-1.23996499254338,-0.317796427423989,1,0.531527673107336
"50","AT1G22940",1.40370904621759,0.0292436186241232,-0.748640400090982,-0.684312264750733,1,0.327421207262714
"51","AT1G23150",1.21518133069743,0.397933314793904,-0.985322504971178,-0.627792140520157,1,0.412290147514001
"52","AT1G23750",0.991676427545286,0.35122499927846,-1.37555537248261,0.0326539456588628,1,0.531672425664689
"53","AT1G24170",1.29399636653513,-0.104970675947541,-1.14572220395271,-0.0433034866348747,1,0.405379195596032
"54","AT1G24485",0.838774481993403,0.150215788596862,-1.43917542712719,0.450185156536929,1,0.269134234472481
"55","AT1G25450",1.25606865776508,0.100883421361245,-1.17418492073843,-0.182767158387895,1,0.617974443520399
"56","AT1G25560",1.26897135936531,0.329534925964322,-0.757376839335455,-0.841129445994179,1,0.317539913962824
"57","AT1G26250",1.19473622246338,0.356452741498633,-1.12377058746018,-0.427418376501827,1,0.547474283123165
"58","AT1G26330",1.03275676764957,0.414335834451936,-1.32133421312099,-0.125758388980512,1,0.605011564680931
"59","AT1G26360",0.915616259307598,0.0045571537440571,-1.39235988081482,0.472186467763165,1,0.252181103519307
"60","AT1G27140",0.815292700155896,0.767115548337148,-1.28860919866902,-0.293799049824028,1,0.313028916204229
"61","AT1G27730",0.929820766583231,0.797290457400701,-0.927994259412254,-0.799116964571679,1,0.267077561841782
"62","AT1G28620",1.40477784340286,-0.203257624300773,-0.963706476382604,-0.237813742719479,1,0.33404442170671
"63","AT1G29230",0.914448086842844,0.218525670498437,-1.42503695303749,0.292063195696214,1,0.355757168522304
